应用编号,应用名称,页面链接,版本号,下载链接,文件大小,应用类型,开发者,更新时间,图片链接,可执行文件
424,PixelMaestro studio图形库,http://app.loongapps.cn/detail/424,0.60-1,http://app.loongapps.cn:8090/upload/file/pixelmaestro-studio_0.60-1_loongarch64.deb,506.1 KB,图像图形,开源软件,2024-11-22T09:19:48,http://app.loongapps.cn:8090/upload/image/2022041115144926.png,PixelMaestro_Studio
223,龙芯应用合作社(3A4000)版,http://app.loongapps.cn/detail/223,2.0.0-1.lnd.16,http://app.loongapps.cn:8090/upload/file/loongsonapplication_2.0.0-1.lnd.16_mips64el.deb,67.8 MB,"其他应用,办公应用",龙芯中科（山西）技术有限公司,2024-11-21T16:33:39,http://app.loongapps.cn:8090/upload/image/2022011909210645.png,loongsonapplication
222,龙芯应用合作社(3A5000)版,http://app.loongapps.cn/detail/222,2.0.0-1.lnd.16,http://app.loongapps.cn:8090/upload/file/loongsonapplication_2.0.0-1.lnd.16_loongarch64.deb,88.1MB,"其他应用,办公应用",龙芯中科（山西）技术有限公司,2024-11-21T16:33:21,http://app.loongapps.cn:8090/upload/image/2022011817263033.png,
426,qvge图形编辑器,http://app.loongapps.cn/detail/426,0.7.0-1,http://app.loongapps.cn:8090/upload/file/qvge_0.7.0-1_loongarch64.deb,19.5 MB,图像图形,开源软件,2024-11-20T09:18:12,http://app.loongapps.cn:8090/upload/image/2022041115465985.png,qvgeapp
355,Goxel3D体素编辑器,http://app.loongapps.cn/detail/355,0.11.0-1,http://app.loongapps.cn:8090/upload/file/goxel_0.11.0-1_loongarch64.deb,9.3 MB,图像图形,开源软件,2024-11-14T16:27:00,http://app.loongapps.cn:8090/upload/image/2022033009470247.png,goxel
1623,wireshark网络协议分析器,http://app.loongapps.cn/detail/1623,2.6.20-0+deb10u7,http://app.loongapps.cn:8090/upload/file/wireshark-qt_2.6.20-0+deb10u7_loongarch64.deb,3.2MB,其他应用,开源软件,2024-11-14T16:00:43,http://app.loongapps.cn:8090/upload/image/2023060816000049.png,wireshark
356,qoiview图片查看器,http://app.loongapps.cn/detail/356,1.0-1,http://app.loongapps.cn:8090/upload/file/qoiview_1.0-1_loongarch64.deb,1.8 MB,图像图形,开源软件,2024-11-14T10:22:02,http://app.loongapps.cn:8090/upload/image/2022033010195110.png,/usr/local/qoiview/qoiview
1086,微信,http://app.loongapps.cn/detail/1086,4.0.0.30,http://app.loongapps.cn:8090/upload/file/wechat_4.0.0.30_loongarch64.deb,215.5 MB,社交沟通,深圳市腾讯计算机系统有限公司,2024-11-08T10:57:29,http://app.loongapps.cn:8090/upload/image/2022062716553998.png,/usr/bin/wechat
1104,WPS Office,http://app.loongapps.cn/detail/1104,12.8.2.18605.AK.preload.sw,http://app.loongapps.cn:8090/upload/file/wps-office_12.8.2.18605.AK.preload.sw_loongarch64.deb,792.8 MB,办公应用,北京金山办公软件股份有限公司,2024-11-06T17:07:40,http://app.loongapps.cn:8090/upload/image/2022071114593486.jpg,/usr/bin/wps
1388,jZip压缩工具,http://app.loongapps.cn/detail/1388,1.2.9.5,http://app.loongapps.cn:8090/upload/file/com.jzip_1.2.9.5_loongarch64.deb,6.3MB,办公应用,二进制翻译软件,2024-10-28T11:27:08,http://app.loongapps.cn:8090/upload/image/2022111011261498.png,"""/opt/apps/com.jzip.deepin/files/run.sh"""
1378,龙芯桌面智推(3A4000)版,http://app.loongapps.cn/detail/1378,1.0.0-1.lnd.5,http://app.loongapps.cn:8090/upload/file/applicationnews_1.0.0-1.lnd.5_mips64el.deb,78.6 MB,系统工具,龙芯中科（山西）技术有限公司,2024-09-02T10:55:12,http://app.loongapps.cn:8090/upload/image/2022110811193426.png,/usr/bin/applicationnews
1377,龙芯桌面智推,http://app.loongapps.cn/detail/1377,1.0.0-1.lnd.5,http://app.loongapps.cn:8090/upload/file/applicationnews_1.0.0-1.lnd.5_loongarch64.deb,84.7 MB,其他应用,龙芯中科（山西）技术有限公司,2024-09-02T10:54:48,http://app.loongapps.cn:8090/upload/image/2022110810595587.png,/usr/bin/applicationnews
1106,企业微信,http://app.loongapps.cn/detail/1106,3.0.62000,http://app.loongapps.cn:8090/upload/file/weworklocal_3.0.62000.130N07.loongarch.deb,304.2MB,"社交沟通,办公应用",深圳市腾讯计算机系统有限公司,2024-08-06T14:23:13,http://app.loongapps.cn:8090/upload/image/2022071410111020.jpg,"""/opt/企业微信/wwlocal"" %U"
1393,龙芯剪辑(3A4000)版,http://app.loongapps.cn/detail/1393,1.0.0-1.lnd.3,http://app.loongapps.cn:8090/upload/file/loongvideoeditor_1.0.0-1.lnd.3_mips64el.deb,78.3 MB,视频播放,龙芯中科（山西）技术有限公司,2024-06-07T16:29:41,http://app.loongapps.cn:8090/upload/image/2022122717173419.png,/opt/apps/loongvideoeditor/start.sh
1392,龙芯剪辑,http://app.loongapps.cn/detail/1392,1.0.0-1.lnd.3,http://app.loongapps.cn:8090/upload/file/loongvideoeditor_1.0.0-1.lnd.3_loongarch64.deb,35.5 MB,视频播放,龙芯中科（山西）技术有限公司,2024-06-07T16:29:16,http://app.loongapps.cn:8090/upload/image/202212271711476.png,/opt/apps/loongvideoeditor/start.sh
1879,drumstick C++包装器,http://app.loongapps.cn/detail/1879,0.5.0-4.1,http://app.loongapps.cn:8090/upload/file/drumstick-tools_0.5.0-4.1_loongarch64.deb,233.1 KB,编程开发,开源软件,2023-11-22T15:27:56,http://app.loongapps.cn:8090/upload/image/2023110909313676.png,drumstick-vpiano
1884,planets游戏模拟器,http://app.loongapps.cn/detail/1884,0.1.13-19.1,http://app.loongapps.cn:8090/upload/file/planets_0.1.13-19.1_loongarch64.deb,92.7 KB,其他应用,开源软件,2023-11-22T15:27:25,http://app.loongapps.cn:8090/upload/image/2023110909425938.png,planets
1908,xfe资源管理器,http://app.loongapps.cn/detail/1908,1.43.1-1.1,http://app.loongapps.cn:8090/upload/file/xfe_1.43.1-1.1_loongarch64.deb,671.8 KB,系统工具,开源软件,2023-11-22T15:24:53,http://app.loongapps.cn:8090/upload/image/2023112211500183.png,xfe
1909,ranger文件管理器,http://app.loongapps.cn/detail/1909,1.9.2-4.1,http://app.loongapps.cn:8090/upload/file/ranger_1.9.2-4.1_all.deb,231.5 KB,系统工具,开源软件,2023-11-22T15:24:41,http://app.loongapps.cn:8090/upload/image/202311221152334.png,ranger
1911,Shredder系统清理工具,http://app.loongapps.cn/detail/1911,2.8.0-3.1,http://app.loongapps.cn:8090/upload/file/rmlint-gui_2.8.0-3.1_all.deb,90.5 KB,系统工具,开源软件,2023-11-22T15:24:18,http://app.loongapps.cn:8090/upload/image/2023112211594218.png,rmlint --gui
